City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,dudinka,69.4058,86.1778,14.600000000000023,95,0,3.91,RU,2024-07-26 19:30:17
243,labytnangi,66.6572,66.4183,11.0,83,100,1.32,RU,2024-07-26 19:30:17
244,donggang,28.9365,114.2259,25.79000000000002,97,95,1.5,CN,2024-07-26 19:30:17
245,geraldton,-28.7667,114.6,9.230000000000018,100,0,4.63,AU,2024-07-26 19:27:13
246,tralee,52.2704,-9.7026,13.629999999999995,80,100,2.85,IE,2024-07-26 19:30:18
247,dakhla,23.6848,-15.958,21.010000000000048,94,18,8.23,EH,2024-07-26 19:30:18
248,madalena,41.2162,-8.3345,24.57000000000005,73,0,1.92,PT,2024-07-26 19:30:18
249,sirte,31.2089,16.5887,27.350000000000023,70,0,5.34,LY,2024-07-26 19:30:18
250,ulsteinvik,62.3432,5.8487,15.350000000000023,91,7,2.24,NO,2024-07-26 19:30:18
251,arraial do cabo,-22.9661,-42.0278,25.920000000000016,61,0,5.14,BR,2024-07-26 19:30:18
252,kalmunai,7.4167,81.8167,28.640000000000043,65,100,1.26,LK,2024-07-26 19:30:19
253,flagstaff,35.1981,-111.6513,27.960000000000036,41,17,1.42,US,2024-07-26 19:26:54
254,san rafael del sur,11.8485,-86.4384,30.54000000000002,56,99,5.7,NI,2024-07-26 19:30:19
255,fort st. john,56.2499,-120.8529,13.939999999999998,88,100,6.69,CA,2024-07-26 19:30:19
256,sona,45.4388,10.8255,27.720000000000027,63,0,1.03,IT,2024-07-26 19:30:19
257,gorom-gorom,14.4439,-0.2361,33.55000000000001,45,37,5.34,BF,2024-07-26 19:30:19
258,maumere,-8.6199,122.2111,24.620000000000005,88,67,2.81,ID,2024-07-26 19:30:19
259,wanning,18.8003,110.3967,26.650000000000034,94,100,4.24,CN,2024-07-26 19:30:19
260,ouesso,1.6136,16.0517,25.82000000000005,67,98,1.58,CG,2024-07-26 19:30:19
261,magadan,59.5667,150.8,12.53000000000003,57,1,4.41,RU,2024-07-26 19:30:19
262,kristiansund,63.1115,7.732,13.560000000000002,96,75,8.75,NO,2024-07-26 19:30:19
263,zhangjiakou,40.81,114.8794,21.720000000000027,91,60,2.21,CN,2024-07-26 19:30:20
264,forster,-32.1667,152.5167,12.060000000000002,89,88,2.42,AU,2024-07-26 19:30:20
265,saldanha,-33.0117,17.9442,13.03000000000003,90,8,4.5,ZA,2024-07-26 19:30:20
266,geneseo,42.7959,-77.8169,25.49000000000001,52,0,0.45,US,2024-07-26 19:26:53
267,labuan,5.2767,115.2417,27.200000000000045,94,20,0.0,MY,2024-07-26 19:30:20
268,champerico,14.3,-91.9167,34.30000000000001,71,100,3.13,GT,2024-07-26 19:30:20
269,atafu village,-8.5421,-172.5159,27.860000000000014,68,64,0.69,TK,2024-07-26 19:30:20
270,kingston,17.997,-76.7936,34.53000000000003,55,20,7.2,JM,2024-07-26 19:27:26
271,zhangatas,43.5667,69.75,25.640000000000043,28,1,3.82,KZ,2024-07-26 19:30:20
272,ha giang,22.8333,104.9833,26.83000000000004,88,79,1.37,VN,2024-07-26 19:30:20
273,ambon,-3.6954,128.1814,26.04000000000002,95,20,1.03,ID,2024-07-26 19:30:20
274,salalah,17.0151,54.0924,25.05000000000001,100,100,1.54,OM,2024-07-26 19:30:21
275,xiva,41.3783,60.3639,22.99000000000001,25,7,7.46,UZ,2024-07-26 19:30:21
